video_id,original_transcription,second_transcription,agreement_score,model_confidence,detected_language,language_probability,word_count_ratio,verification_status,final_transcription,verification_error
video_001,"And here's my most purchased moisturizer. I used to CeraVe moisturizer as an illusion. Many people use this for the upper level, I use it on my face, I use it for about 4 years now. It cost me about 19.99ft by from SuperDrix store, and I love that it's very much available and affordable. I think 49.99ft in 4 months, that's a very good buy for me. I have acne, slash sensitive skin, so everything triggers my skin, but this has helped me to keep that on that control. I would just believe that your cleansers are moisturizing illusions. She just becomes as an moisturizer, like they shouldn't contain active, and that's just what this is. It doesn't contain any active. The major ingredients in this are 3 essential ceramides are hyaluronic acid, and that would help you from your skin and hydrate your skin. At the last 4 years of me using it, this has become my most purchased moisturizer. Also, it staples in my skincare stash. I've used this before, I really love to know. What skincare product you should buy in this really saturated market. Please do give me a follow, I'll be posting all of my beauty finds.",And here's my most purchased moisturizer. It's the CeraVe Moisturizing Lotion. Many people use this for their body but I used it on my face I've been using it for about four years now It cost me about $19.99 if I buy it from Super Drugstore and I love that it's very much available and affordable $13.99 in four months. That's a very good buy for me I have acne slash sensitive skin so everything triggers my skin But this has helped me to keep that under control I always believe that your cleansers and your moisturizing lotions should just be cleansers and moisturizers Like they shouldn't contain actives and that's just what this is It doesn't contain any active. The major ingredient in this are three essential ceramide arylerilic acid And that would help you plumb your skin and hydrate your skin. Over the last four years of me using it This has become my most purchased moisturizer and also is stapled in my Skincare stash. Have you used this before? I would really love to know if you love to know what skincare products you should buy in this Really saturated market. Please do give me a follow. I'll be posting all of my beauty finds,0.6375,0.7546,en,1,0.976,verified_auto,And here's my most purchased moisturizer. It's the CeraVe Moisturizing Lotion. Many people use this for their body but I used it on my face I've been using it for about four years now It cost me about $19.99 if I buy it from Super Drugstore and I love that it's very much available and affordable $13.99 in four months. That's a very good buy for me I have acne slash sensitive skin so everything triggers my skin But this has helped me to keep that under control I always believe that your cleansers and your moisturizing lotions should just be cleansers and moisturizers Like they shouldn't contain actives and that's just what this is It doesn't contain any active. The major ingredient in this are three essential ceramide arylerilic acid And that would help you plumb your skin and hydrate your skin. Over the last four years of me using it This has become my most purchased moisturizer and also is stapled in my Skincare stash. Have you used this before? I would really love to know if you love to know what skincare products you should buy in this Really saturated market. Please do give me a follow. I'll be posting all of my beauty finds,
video_002,"CeraVe has one of the worst mineral sunscreens I've ever tried, but people say that their newest release is probably one of the best mineral sunscreens. So let's try it out. I haven't looked at the ingredients, but because this claims to be an invisible mineral sunscreen, I'm sure there has to be SPF boosters in this. And right off the bat, this is a lighter weight texture than I was expecting. It's dripping all over my hands. It's got a little messy, so I'm just going to put a few more pumps just to make sure I get proper coverage. As I blend this in, it feels kind of like an oily serum texture, and it doesn't have a strong scent, which I really appreciate because the one that I hate from them has the strongest scent ever. Here's what it looks like fully blended out, and I'm very shocked that there really is no white cast. However, my face feels very oily and very wet, so I'm going to let this settle for 15 minutes, and then I'll be back. It's been about 20 minutes, and here's how the skin is looking. And overall, it looks pretty good, but as you can probably tell, my skin still looks oily, and it definitely feels oily. I will be applying makeup today, so we're going to see how this does, and hopefully it doesn't pill, but I'll see you guys at the end of the day to give you my final thoughts. As you can clearly see this performed really well under makeup, however, I did have a little bit of pilling under my eyes before I applied the makeup, so I'm not sure what that was about. Also, it did eventually dry down and leave a satin-like finish, but it did still feel the slightest bit oily. Overall, I rate this like a 7.5 out of 10. It's really not a bad sunscreen, but it's a little too oily for my liking, and that pilling was a little weird. So you might have to be careful with what skincare you put under this. Anyways, let me know if you've tried this before, and let me know what I should try next.","CeraVe has one of the worst mineral sunscreens I've ever tried but people say that their newest release is probably one of the best mineral sunscreens So let's try it out. I haven't looked at the ingredients, but because this claims to be an invisible mineral sunscreen I'm sure there has to be SPF boosters in this and right off the bat This is a lighter weight texture than I was expecting. It's dripping all over my hands. It's got a little messy So I'm just gonna put a few more pumps just to make sure I get proper coverage As I blend this in it feels kind of like an oily serum texture and it doesn't have a strong scent Which I really appreciate because the one that I hate from them has the strongest scent ever Here's what it looks like fully blended out and I'm very shocked that there really is no white cast However, my face feels very oily and very wet. So I'm gonna let this settle for 15 minutes and then I'll be back It's been about 20 minutes and here's how the skin is looking and overall it looks pretty good But as you can probably tell my skin still looks oily and it definitely feels oily I will be applying makeup today So we're gonna see how this does and hopefully it doesn't pill But I'll see you guys at the end of the day to give you my final thoughts as you can clearly see this Performed really well under makeup. However, I did have a little bit of peeling under my eyes before I applied the makeup So I'm not sure what that was about Also, it did eventually dry down and leave a satin like finish, but it did still feel the slightest bit oily Overall, I rate this like a 7.5 out of 10 It's really not a bad sunscreen, but it's a little too oily for my liking and that peeling was a little weird So you might have to be careful with what skincare you put under this Anyways, let me know if you've tried this one before and let me know what I should try next",0.8641,0.8853,en,1,0.9973,verified_auto,"CeraVe has one of the worst mineral sunscreens I've ever tried but people say that their newest release is probably one of the best mineral sunscreens So let's try it out. I haven't looked at the ingredients, but because this claims to be an invisible mineral sunscreen I'm sure there has to be SPF boosters in this and right off the bat This is a lighter weight texture than I was expecting. It's dripping all over my hands. It's got a little messy So I'm just gonna put a few more pumps just to make sure I get proper coverage As I blend this in it feels kind of like an oily serum texture and it doesn't have a strong scent Which I really appreciate because the one that I hate from them has the strongest scent ever Here's what it looks like fully blended out and I'm very shocked that there really is no white cast However, my face feels very oily and very wet. So I'm gonna let this settle for 15 minutes and then I'll be back It's been about 20 minutes and here's how the skin is looking and overall it looks pretty good But as you can probably tell my skin still looks oily and it definitely feels oily I will be applying makeup today So we're gonna see how this does and hopefully it doesn't pill But I'll see you guys at the end of the day to give you my final thoughts as you can clearly see this Performed really well under makeup. However, I did have a little bit of peeling under my eyes before I applied the makeup So I'm not sure what that was about Also, it did eventually dry down and leave a satin like finish, but it did still feel the slightest bit oily Overall, I rate this like a 7.5 out of 10 It's really not a bad sunscreen, but it's a little too oily for my liking and that peeling was a little weird So you might have to be careful with what skincare you put under this Anyways, let me know if you've tried this one before and let me know what I should try next",
video_003,"You have been doing skincare all wrong and I'm about to tell you why first off Do not use this This can really be bad for your skin and I'm just running out and it might be for the people You use this wonder why your skin gets all pealy itchy flaky or anything like that. We're bumpy. My started to get like that I noticed once I stopped using that I Didn't get any more blemishes or anything like that So this might be issue. I don't know if it's a allergic reaction some people might have but I noticed other people want to take that saying that too So stop using CeraVe, I'm just saying this really right here is Really could be messing up your skin and just letting you know This could be the reason why you have that acne those itchy patches or anything like that because that's what I was getting","You have been doing skincare all wrong, and I'm about to tell you why first off Do not use this This can really be bad for your skin, and I'm just learning that now and it might be for other people You use this wonder why your skin gets all peely itchy flaky or anything like that. We're bumpy mine started to get like that I noticed once I stopped using that I Didn't get any more blemishes or anything like that so This might be issue. I don't know if it's an alerted reaction some people might have but I noticed other people on tiktok saying so Stop using CRV. I'm just saying this really right here is really could be messing up your skin and Just letting you know This could be the reason why you have that acne those itchy patches or anything like that because that's what I was getting",0.9003,0.7888,en,1,0.9809,verified_auto,"You have been doing skincare all wrong, and I'm about to tell you why first off Do not use this This can really be bad for your skin, and I'm just learning that now and it might be for other people You use this wonder why your skin gets all peely itchy flaky or anything like that. We're bumpy mine started to get like that I noticed once I stopped using that I Didn't get any more blemishes or anything like that so This might be issue. I don't know if it's an alerted reaction some people might have but I noticed other people on tiktok saying so Stop using CRV. I'm just saying this really right here is really could be messing up your skin and Just letting you know This could be the reason why you have that acne those itchy patches or anything like that because that's what I was getting",
video_004,"From rating popular CeraVe cleansers from best to worse. The essays moving cleanser also known as the SA renewing cleanser is great for people who are breakout prone to have enlarged pores and texture as it contains salicylic acid. It lavas up really nicely and I have combination skin and this didn't dry my skin out. Definitely a 5 out of 5. The hydrating cleanser is so good for skin that's dry and sensitive especially if you've overused your active and your skin needs a little bit of TLC. It's great for morning cleanser and it's creamy, nourishing and effective definitely a 5 out of 5 for me. The filming cleanser is great for oily combination to normal skin types that enjoy that nice bubbly lava on the skin. I enjoy it a lot and it has your typical ingredients like nice cine'mard handle, casted and CeraVe staple surmard formulation, a 4 out of 5 for me. The blemish control cleanser is very similar to the SA cleanser but nice in a mind is higher on the ingredients list. Great for oily skin types due to the oily absorbing technology is good but personally I would pick the SA cleanser over this one, a 3 out of 5 for me. The hydrating cream to foam cleanser is nourishing and creamy but it lavas up well and is stated to remove makeup and SPF. It does have a amino acid so it will help with hydration. I have enjoyed this but I do prefer a separate bonk cleanser in the evening, a 3 out of 5 for me.","Rating popular CeraVe cleansers from best to worst. The Essay Smoothing Cleanser, also known as the Essay Renewing Cleanser, is great for people who are breakout prone, have enlarged pores and texture as it contains salicylic acid. It lavers up really nicely and I have combination skin and this didn't dry my skin out. Definitely a five out of five. The Hydrating Cleanser is so good for skin that's dry and sensitive, especially if you've overused your actives and your skin needs a little bit of TLC. It's great for a morning cleanse and it's creamy, nourishing and effective. Definitely a five out of five for me. The Foaming Cleanser is great for oily combination to normal skin types that enjoy that nice bubbly lava on the skin. I enjoy it a lot and it has your typical ingredients like niacinamide, hyaluronic acid and CeraVe staple ceramide formulation. A four out of five for me. The Blemish Control Cleanser is very similar to the Essay Cleanser, but niacinamide is higher on the ingredients list. Great for oily skin types due to the oil absorbing technology. It's good, but personally, I would pick the Essay Cleanser over this one. A three out of five for me. The Hydrating Cream to Foam Cleanser is nourishing and creamy, but it lavers up well and is stated to remove makeup and SPF. It does have amino acids, so it will help with hydration. I have enjoyed this, but I do prefer a separate balm cleanser in the evening. A three out of five for me.",0.7311,0.9002,en,1,0.9775,verified_auto,"Rating popular CeraVe cleansers from best to worst. The Essay Smoothing Cleanser, also known as the Essay Renewing Cleanser, is great for people who are breakout prone, have enlarged pores and texture as it contains salicylic acid. It lavers up really nicely and I have combination skin and this didn't dry my skin out. Definitely a five out of five. The Hydrating Cleanser is so good for skin that's dry and sensitive, especially if you've overused your actives and your skin needs a little bit of TLC. It's great for a morning cleanse and it's creamy, nourishing and effective. Definitely a five out of five for me. The Foaming Cleanser is great for oily combination to normal skin types that enjoy that nice bubbly lava on the skin. I enjoy it a lot and it has your typical ingredients like niacinamide, hyaluronic acid and CeraVe staple ceramide formulation. A four out of five for me. The Blemish Control Cleanser is very similar to the Essay Cleanser, but niacinamide is higher on the ingredients list. Great for oily skin types due to the oil absorbing technology. It's good, but personally, I would pick the Essay Cleanser over this one. A three out of five for me. The Hydrating Cream to Foam Cleanser is nourishing and creamy, but it lavers up well and is stated to remove makeup and SPF. It does have amino acids, so it will help with hydration. I have enjoyed this, but I do prefer a separate balm cleanser in the evening. A three out of five for me.",
video_005,"It's time to roast some of the worst skincare products that are designed to make your skin look better, but I personally think make acne 100 transverse. Or even better, give you acne when you had number four, love that. Number one, the most overrated cleanser, the cerevy renewing salsa, like acid cleanser. Salicylic acid is a well-known anti acne and texture smoothing ingredient, but I think where people go wrong with this is they use it morning and night because most people just want to buy one cleanser, get it. I get it, but have you considered that if you use this morning and night, you're exfoliating twice a day, aka 14 times a week. That is why I think this ends up making people's skin look way worse. Even if it gets rid of their acne, is your skin still red, dry, dull? Are you trying to find products that make it look better? Might be why. In at number two, dermatologists recommend cerevy again all the time. Their moisturizers and their sunscreens, in my opinion, are the cause of a lot of people's acne. Certainly for a lot of people, they're just making it worse, giving you more breakouts than you really needed to have. They have this reputation of being flawless, perfect for acne-prone skin, but in reality, I think a lot of the formulas are actually quite bad for acne-prone skin. Very strange, and have you noticed since they got popular, the price is just keeping creasing. Love that. In at number three, we've got the ordinary's peeling solution. If I was creating a starter kit for chemical burns, I'd put this one in there. Or if you've got some crusty skin on your feet, this would be great for that, because it's industrial strength. This might exfoliate your skin to the high heavens, but is that actually what you want? Would you rather a gentler exfoliant, which makes your skin look glowy rather than zapping all the life out there? My case is closed. And lastly, sicker plus, everyone loves her, so I'm not going to rip her too hard. Not great for acne-prone skin, not actually meant to be used as a moisturizer all over the face. It's actually not her fault.","It's time to roast some of the worst skincare products that are designed to make your skin look better but I personally think make acne 100 times worse or even better give you acne when you had number four. Love that. Number one the most overrated cleanser the CeraVe Renewing Salicylic Acid Cleanser. Salicylic acid is a well-known anti-acne and texture smoothing ingredient but I think where people go wrong with this is they use it morning and night because most people just want to buy one cleanser. Get it? I get it but have you considered that if you use this morning and night you're exfoliating twice a day aka 14 times a week? That is why I think this ends up making people's skin look way worse even if it gets rid of their acne. Is your skin still red, dry, dull? Are you trying to find products that make it look better? Might be why. In at number two dermatologists recommend CeraVe again all the time. Their moisturisers and their sunscreens in my opinion are the cause of a lot of people's acne. Certainly for a lot of people they're just making it worse giving you more breakouts than you really needed to have. They have this reputation of being flawless perfect for acne prone skin but in reality I think a lot of the formulas are actually quite bad for acne prone skin. Very strange and have you noticed since they got popular the prices just keep increasing? Love that. In at number three we've got the Ordinary's peeling solution. If I was creating a starter kit for chemical burns I'd put this one in there or if you've got some crusty skin on your feet this would be great for that because it's industrial strength. This might exfoliate your skin to the high heavens but is that actually what you want? Would you rather a gentler exfoliant which makes your skin look glowy rather than zapping all the life out of it? My case is closed. And lastly Cicaplast. Everyone loves her so I'm not going to rip her too hard. Not great for acne prone skin. Not actually meant to be used as a moisturizer all over the face. It's actually not her fault.",0.8511,0.9151,en,1,0.9974,verified_auto,"It's time to roast some of the worst skincare products that are designed to make your skin look better but I personally think make acne 100 times worse or even better give you acne when you had number four. Love that. Number one the most overrated cleanser the CeraVe Renewing Salicylic Acid Cleanser. Salicylic acid is a well-known anti-acne and texture smoothing ingredient but I think where people go wrong with this is they use it morning and night because most people just want to buy one cleanser. Get it? I get it but have you considered that if you use this morning and night you're exfoliating twice a day aka 14 times a week? That is why I think this ends up making people's skin look way worse even if it gets rid of their acne. Is your skin still red, dry, dull? Are you trying to find products that make it look better? Might be why. In at number two dermatologists recommend CeraVe again all the time. Their moisturisers and their sunscreens in my opinion are the cause of a lot of people's acne. Certainly for a lot of people they're just making it worse giving you more breakouts than you really needed to have. They have this reputation of being flawless perfect for acne prone skin but in reality I think a lot of the formulas are actually quite bad for acne prone skin. Very strange and have you noticed since they got popular the prices just keep increasing? Love that. In at number three we've got the Ordinary's peeling solution. If I was creating a starter kit for chemical burns I'd put this one in there or if you've got some crusty skin on your feet this would be great for that because it's industrial strength. This might exfoliate your skin to the high heavens but is that actually what you want? Would you rather a gentler exfoliant which makes your skin look glowy rather than zapping all the life out of it? My case is closed. And lastly Cicaplast. Everyone loves her so I'm not going to rip her too hard. Not great for acne prone skin. Not actually meant to be used as a moisturizer all over the face. It's actually not her fault.",
video_006,"I just got home for more and I posted that I tried the noose therapy Sure tinted as Pia and I am wanted to remove it now. This is how long it stayed on a super Dooley and glowy so if you're dry skin, I feel like you're gonna like this sunscreen. I did post about it in the previous videos. You might have to go there to grab it, but today I'm trying another new product from the CeraVe. It is their cream-to-water makeup filter for normal to sensitive skin. It says transformative textured double cleanse by removing stubborn waterproof makeup and it has three sensor ceramides and squealing double cleansing efficiency. So let's see how it removes my makeup. Let's see if it actually cleans everything even with my waterproof stuff with this cleanser. It does feel super lightweight. It doesn't feel like a traditional like oil texture, but looks a little bit weird. I'm gonna rate this a 6 out of 10. I'm not really well by it by it. I didn't really even move my makeup really good. Look it has a rubber eye like this to remove my mascara and I hate having to rub my eyes because I don't want to find things in my clothes and the case is still there. My other cleansing problem usually takes it off in one wipe so I'm not really impressed by this. I'll then give me a good in the case you guys want to try it too, but it's one of their new products.",I just got home from work and I posted that I tried the new CeraVe sheer tinted SPF and I am going to remove it now. This is how long it stayed on. It's super dewy and glowy so if you're dry skin I feel like you're gonna like this sunscreen. I did post about it in the previous video so you might have to go there to grab it but today I'm trying another new product from CeraVe. It is their cream to water makeup melter for normal to sensitive skin. It says transformative texture double cleanse by removing stubborn waterproof makeup and it has three essential ceramides and squalene double cleansing efficiency. So let's see how it removes my makeup. Let's see if it actually cleans everything even my waterproof stuff with this cleanser. It does feel super lightweight. It doesn't feel like a traditional like oil texture but it looks a little bit weird. I'm gonna rate this a six out of ten. I'm not really wowed by it. It didn't really remove my makeup really good. Look it hasn't rubbed my eyes like this to remove my mascara and I hate having to rub my eyes because I don't want fine lines and wrinkles and look it is still there. My other cleansing prompt usually takes it off in one wipe so I'm not really impressed by this. I'll link it for you guys in case you guys want to try it too but it's one of their new products.,0.8109,0.8831,en,1,0.9807,verified_auto,I just got home from work and I posted that I tried the new CeraVe sheer tinted SPF and I am going to remove it now. This is how long it stayed on. It's super dewy and glowy so if you're dry skin I feel like you're gonna like this sunscreen. I did post about it in the previous video so you might have to go there to grab it but today I'm trying another new product from CeraVe. It is their cream to water makeup melter for normal to sensitive skin. It says transformative texture double cleanse by removing stubborn waterproof makeup and it has three essential ceramides and squalene double cleansing efficiency. So let's see how it removes my makeup. Let's see if it actually cleans everything even my waterproof stuff with this cleanser. It does feel super lightweight. It doesn't feel like a traditional like oil texture but it looks a little bit weird. I'm gonna rate this a six out of ten. I'm not really wowed by it. It didn't really remove my makeup really good. Look it hasn't rubbed my eyes like this to remove my mascara and I hate having to rub my eyes because I don't want fine lines and wrinkles and look it is still there. My other cleansing prompt usually takes it off in one wipe so I'm not really impressed by this. I'll link it for you guys in case you guys want to try it too but it's one of their new products.,
video_007,"Every single other CeraVe product I have tried has let me down. This one has let me down. So, the daily moisturizing motion is so much better. This one is greasy and has an unpleasant smell and I'm kind of itchy. Also, it's just not a good experience overall. I have been buying this one a lot as you can see. It's just the best one in my opinion and I've tried other CeraVe stuff like some other facewashes they have. I did not have a good time.",Every single other CeraVe product I have tried has let me down. This one has let me down So the daily moisturizing lotion is so much better This one is greasy and has an unpleasant smell and I'm kind of itchy also. It's just not a good experience overall I have been buying this one a lot as you can see It's just the best one in my opinion and I tried other CeraVe stuff like some other face washes They have I didn't I did not have a good time,0.8492,0.8606,en,1,0.967,verified_auto,Every single other CeraVe product I have tried has let me down. This one has let me down So the daily moisturizing lotion is so much better This one is greasy and has an unpleasant smell and I'm kind of itchy also. It's just not a good experience overall I have been buying this one a lot as you can see It's just the best one in my opinion and I tried other CeraVe stuff like some other face washes They have I didn't I did not have a good time,
video_008,"Hi everyone, Dr. A. Douglas here. I'm a board certified dermatologist and hair loss expert and today I'll be reviewing these two products, the CeraVe, anti-jange of hydrogen shampoo and conditioner. And I use that for my very, very flaky scalp. And unfortunately for me, these products did not work. My scalp was flaky within the next day of using these products. However, I do have more of a severe condition. So these are not products that I would recommend for people with a more severe condition. This is something you can maybe consider if you have mild, some moderate condition. Let me know in the comments what you use for your flaky scalp and what works and continue to follow me for more tips on hair, hair, hair and hair loss.","Hi everyone, Dr. A. Douglas here. I'm a board certified dermatologist and hair loss expert and today I'll be reviewing these two products, the Cervi Anti-Dandruff Hydrating Shampoo and Conditioner and I used that for my very very flaky scalp and unfortunately for me these products did not work. My scalp was flaky within the next day of using these products. However, I do have more of a severe condition so these are not products that I would recommend for people with a more severe condition. This is something you can maybe consider if you have mild to moderate condition. Let me know in the comments what you use for your flaky scalp and what works and continue to follow me for more tips on hair, haircare and hair loss.",0.9008,0.8355,en,1,0.9848,verified_auto,"Hi everyone, Dr. A. Douglas here. I'm a board certified dermatologist and hair loss expert and today I'll be reviewing these two products, the Cervi Anti-Dandruff Hydrating Shampoo and Conditioner and I used that for my very very flaky scalp and unfortunately for me these products did not work. My scalp was flaky within the next day of using these products. However, I do have more of a severe condition so these are not products that I would recommend for people with a more severe condition. This is something you can maybe consider if you have mild to moderate condition. Let me know in the comments what you use for your flaky scalp and what works and continue to follow me for more tips on hair, haircare and hair loss.",
video_009,"The worst owner I've ever used had so much expectation since I always use CeraVe And it always worked for me, but ever since I use the toner it doesn't work at all It give me acne and breakouts and dry skin as well. Honestly, I would invite this again I want to know would you guys use for toner and if you can give me a recommendation in the comment I would really appreciate it","The worst toner I've ever used. I had so much expectation since I always use CeraVe and it always worked for me But ever since I use the toner, it doesn't work at all It gives me acne and breakouts and dry skin as well. Honestly, I would invite this again I want to know what you guys use for toner and if you can give me a recommendation in the comments I would really appreciate it",0.902,0.8565,en,1,0.987,verified_auto,"The worst toner I've ever used. I had so much expectation since I always use CeraVe and it always worked for me But ever since I use the toner, it doesn't work at all It gives me acne and breakouts and dry skin as well. Honestly, I would invite this again I want to know what you guys use for toner and if you can give me a recommendation in the comments I would really appreciate it",
video_010,"I'm just going to be honest, a lot of the drugstore cleansers that you guys use are not that great. This therapy filming oil cleanser was on my wish list for the longest time because I heard so many great things about it. Very surprising to me when I realized that this cleanser was very dry. And the fact that it's actually marketed for dry to very dry skin. I also really dislike the fact that it is marketed as a filming oil cleanser when it's really not an oil cleanser. Water is the first ingredient and it lathers. And those are two indications that it's not a true oil cleanser. It also triggered my fungal acne, which is absolutely possible with wash off products like this. Ever since I tried the prequel cleanser, a lot of the drugstore cleansers will never compare to this because this is affordable. It's gentle. It's not stripping and it happens to feel hydrating as well. Sensitive skin friendly can work for a lot of different skin types and it doesn't trigger my fungal acne. I am trying to test other options for you guys because I know not everyone can access this one, but truthfully, I just haven't found that many good options.","I'm just gonna be honest, a lot of the drugstore cleansers that you guys use are not that great. The CeraVe Foaming Oil Cleanser was on my wishlist for the longest time because I heard so many great things about it. Very surprising to me when I realized that this cleanser was very drying. And the fact that it's actually marketed for dry to very dry skin. I also really dislike the fact that it is marketed as a foaming oil cleanser when it's really not an oil cleanser. Water is the first ingredient and it lathers and those are two indications that it's not a true oil cleanser. It also triggered my fungal acne, which is absolutely possible with wash off products like this. Ever since I tried the prequel cleanser, a lot of the drugstore cleansers will never compare to this because this is affordable, it's gentle, it's not stripping, and it happens to feel hydrating as well. Sensitive skin friendly, can work for a lot of different skin types, and it doesn't trigger my fungal acne. I am trying to test other options for you guys because I know not everyone can access this one, but truthfully, I just haven't found that many good options.",0.9187,0.8655,en,1,0.9905,verified_auto,"I'm just gonna be honest, a lot of the drugstore cleansers that you guys use are not that great. The CeraVe Foaming Oil Cleanser was on my wishlist for the longest time because I heard so many great things about it. Very surprising to me when I realized that this cleanser was very drying. And the fact that it's actually marketed for dry to very dry skin. I also really dislike the fact that it is marketed as a foaming oil cleanser when it's really not an oil cleanser. Water is the first ingredient and it lathers and those are two indications that it's not a true oil cleanser. It also triggered my fungal acne, which is absolutely possible with wash off products like this. Ever since I tried the prequel cleanser, a lot of the drugstore cleansers will never compare to this because this is affordable, it's gentle, it's not stripping, and it happens to feel hydrating as well. Sensitive skin friendly, can work for a lot of different skin types, and it doesn't trigger my fungal acne. I am trying to test other options for you guys because I know not everyone can access this one, but truthfully, I just haven't found that many good options.",
